"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1487438313","San Joaquin ARTS 2","3"
"1497539332","compare quality pharmacy","3"
"1528842457","Care Ride","3"
"1538943469","Henry J Carter","3"
"1568614352","IMAC Regeneration Center of Florida","3"
"1619751542","Wright Specialty Pharmacy and Diabetic Supply","4"
"1659467256","Options Behavioral Health System","3"
"1689255879","MedMark Treatment Centers Marietta","3"
"1689458515","Patricia Inemer","3"
"1689458523","Denver Health Non-FQHC Dental Clinic","3"
"1700589405","Premier Sleep Medicine","3"
"1720085178","Rolling Hills Hospital","3"
"1740373323","Options Behavioral Health System","3"
"1770267486","Dr. Arthur Galstian - Shalom OBGYN Practice","5"
"1770267486","Dr. Arthur Galstian- Shalom OBGYN Practice","5"
"1780075754","Advantage Therapy","3"
"1821024563","Vermilion Behavioral Health Systems","3"
"1821186271","Ohio Hospital for Psychiatry","3"
"1902116973","Ohio Hospital for Psychiatry","3"
"1902299399","Advantage Therapy-Monett","3"
"1952649147","Optima Specialty Hospital","3"
"1952649147","Vermilion Behavioral Health System","3"
"1972917300","Options Behavioral Health System","3"
"1982668562","Ohio Hospital for Psychiatry","3"
"1013584044","Mike Ditka IMAC Regeneration Center","3"
"1043399124","Southwood Hospital","3"
"1043830862","Pleasant Care","3"
"1104600048","GREEN ST FAMILY MEDICINE","3"
"1144004094","Ochsner Community Health Center - Metairie","3"
"1144227588","Yuma Clinic","3"
"1144569039","Respite and Research for Alzheimers Disease","4"
"1174307011","Dental Care on Quebec","3"
"1184035040","Resource Treatment Center","3"
"1184912396","Corewell Health Big Rapids Hospital Family Medicine - 650 Linden St","3"
"1184912396","Spectrum Health Big Rapids Hospital Family Medicine","3"
"1225267974","SOUTHWOOD HOSPITAL","3"
"1245324755","Resource Treatment Center","3"
"1275821845","Bridge Solutions","3"
"1306211420","ORGLIFE PHARMACY","3"
"1336923283","Little Compton School Department","5"
"1346024296","Medicap Pharmacy","3"
"1346266954","Core Physical Therapy","3"
"1356125207","CORA Physical Therapy - Fort Mill","3"
"1356997449","Beall Recovery Clinics","3"
"1366188401","CAREFINDERS HOMECARE LLC","3"
"1366524084","Southwood Hospital","3"
"1376537480","Southwood Hospital","3"
"1407475270","Southwood Hospital","3"
"1407630361","OLIVE DENTAL","3"
"1467236307","Harris Teeter Pharmacy #291","3"
"1477531473","Sea Level Hospital ECF Pharmacy","3"
"1477848364","Neuro Fit 360","3"
"1477973493","Corewell Health Big Rapids Hospital Family Medicine - Canadian Lakes","3"
"1477973493","Spectrum Health Big Rapids Canadian Lakes Family Medicine","3"
"1508572009","Home Care for the 21st Century-CYP","3"
"1538705454","Mike Ditka Regeneration Center","3"
"1619658028","ABSOLUTE WELLNESS CENTER","3"
"1619658028","Absolute Wellness Center LLC","3"
"1619947256","Waiver","5"
"1639228778","Mount Regis Center","3"
"1659378313","Valley Eye Center Surgical Med Grp","3"
"1679746309","Agape Psychological Consortium","3"
"1730185323","Akron Clinic","3"
"1730751421","Compassus - Southwestern Indiana","3"
"1730963679","Loyola University Student Health","3"
"1760567655","Southwood Hospital","3"
"1760567655","Family Based Services","5"
"1770007742","Walgreens #17603","3"
"1770248015","Peru Medical Center","3"
"1790569655","Novant Health Cancer Institute","3"
"1821123738","Community Health Network Home Health Services, LLC","3"
"1831196062","Grassroots Clinic","3"
"1871377739","Innoterix Labs","3"
"1871675504","PRO site RTFs","5"
"1871738500","IMAC Regeneration Center of Florida","3"
"1881293801","Walmart Health","3"
"1881680577","Hanger Clinic","3"
"1891109591","Corewell Health Big Rapids Hospital Obstetrics, Gynecology & Urology -","3"
"1891109591","Spectrum Health Big Rapids Obstetrics, Gynecology and Urology","3"
"1891214524","Clarx Hub City Pharmacy","3"
"1992038186","ProSpine of Kannapolis","3"
"1992589089","Integration Healing Alivio Integral LLC","4"
"1992589832","Clearview Services LLC","3"
"1013934223","WAL-MART PHARMACY 10-1618","3"
"1023892981","Kathleen Brown","5"
"1073530127","WALMART PHARMACY 10-0549","3"
"1104600071","Indigo Assisted Living","3"
"1154066140","Healthene","3"
"1174201602","PROMISES ASSISTED LIVING","3"
"1194118265","Corewell Health Gerber Hospital Multispecialty Clinic - Fremont","3"
"1194118265","Spectrum Health Gerber Memorial Multispecialty Clinic Fremont","3"
"1194234179","Crimson Dialysis","3"
"1194509059","Speak Easy RVA","4"
"1215711171","Kellis Home LLC","3"
"1265459440","Walmart Pharmacy 10-1433","3"
"1275288862","NORTHWEST MEDICAL LAB USA INC","3"
"1306864053","WALMART PHARMACY 10-5355","3"
"1316628993","CVS Pharmacy #10868","3"
"1316721293","H2 Health","3"
"1326501610","Structure House","3"
"1336303387","United NW Recovery Center","3"
"1336923374","U.S.Vets","3"
"1346305315","Community Health Center of NE Wetzel County Lab","3"
"1376930149","Delta Health - The Medical Center Specialty Pharmacy","3"
"1376930149","Delta Health Specialty Pharmacy","5"
"1457366569","LaMarque Fire Rescue","3"
"1467845537","Corewell Health Gerber Hospital Family Medicine - Newaygo","3"
"1467845537","Spectrum Health Gerber Memorial Family Medicine Newaygo","3"
"1487672259","Walmart Pharmacy 10-5432","3"
"1497411730","Yuki Maeda","5"
"1518269885","Alabama Hospice Care of Tuscaloosa","3"
"1548785843","CHRISTUS Homecare SPOHN","3"
"1598549461","Chrysalis Health","3"
"1609009554","Corewell Health Gerber Hospital Obstetrics and Gynecology","3"
"1609009554","Spectrum Health Gerber Memorial Obstetrics and Gynecology","3"
"1639197106","WALMART PHARMACY 10-0856","3"
"1649054511","IntegrityForward Health Solutions","5"
"1649407552","WalMart Pharmacy 10-3485","3"
"1669935615","Corewell Health Big Rapids Hospital Family Medicine - Evart","3"
"1669935615","Spectrum Health Big Rapids Hospital Family Medicine Evart","3"
"1740064609","US Express Transport, Inc.","3"
"1750403325","Corewell Health Gerber Hospital Pediatrics & Walk-In Clinic - Fremont","3"
"1750403325","Spectrum Health Gerber Memorial Pediatrics and Walk In Clinic","3"
"1801813969","WAL-MART PHARMACY 10-1908","3"
"1811388630","Walmart Pharmacy 10-5483","3"
"1821872797","Ironwood lake House","3"
"1841343407","Yuma Dist. Prof. Comp","3"
"1841343407","Yuma District Hospital Prof Comp Clinic","3"
"1851769848","Huntersville Dialysis","3"
"1881730141","Behavioral Health Services","3"
"1891360541","KORT Physical Therapy","3"
"1942385836","Promise House RTF","5"
"1952185811","Atlas Dental Specialists Shadyside","3"
"1003280462","John Chrostowski, MD,PLLC","3"
"1013791896","Acupuncture and Healing Arts","3"
"1013791896","Volusia","3"
"1013982305","HUTCHINSON CLINIC PHARMACY","3"
"1063802577","Costco Optical #1031","3"
"1073632261","Inland Physicians Medical Group","5"
"1083852511","Broadstep Academy-SC Inc","3"
"1083852511","Venice Psychiatric Residential Treatment Facility","3"
"1124802905","New Wave Home Care TX","3"
"1144247339","WALMART PHARMACY 10-0477","3"
"1164118642","Sane Space","3"
"1164118642","Sane Space LLC","4"
"1164205084","Wise 2","5"
"1164449567","WALMART PHARMACY 10-0112","3"
"1174149702","Stonerise Home Health","3"
"1174307961","Arizona Surgical Specialists Center-Tucson","3"
"1174942460","Utah Musculoskeletal Specialists (UMS)","3"
"1194244590","Stonerise Home Health","3"
"1205610094","CAREFIRST CASE MANAGEMENT LLC","5"
"1225139298","Pro Active Behavioral Health","3"
"1225139298","Proactive Behavioral Health","3"
"1235529595","Stonerise Home Health","3"
"1265024863","Mental Wellness Clinical Counseling and Services","3"
"1306629589","Dental Care Alliance","5"
"1326395617","Holding Hands Hospice","3"
"1356125140","Momentum Hearing Aid Services","3"
"1376327163","Inner Irie","3"
"1407630288","Assisting Hands Home Care of Anne Arundel County","3"
"1417731209","Delco Pharmacy","3"
"1427497106","Inspire Physical Therapy","3"
"1427832203","Lightfully Behavioral Health","3"
"1447034228","Arbor Chase Assisted Living","3"
"1447277868","WALMART PHARMACY 10-0274","3"
"1477337251","alx medical","3"
"1487172649","Stonerise Home Health","3"
"1497539373","Reading Hospital Broadcasting Pharmacy","3"
"1508640392","LABORATORIO CLINICO EDMARIE","3"
"1528085727","WAL-MART PHARMACY 10-3599","3"
"1528279437","Parkside Clinic","5"
"1548043052","The Mind Garden","3"
"1548779176","Stonerise Home Health","3"
"1588448377","Bridge Therapy Group","3"
"1588448468","Safeway Pharmacy #0048","3"
"1598830366","Hanger Clinic","3"
"1649054420","WESTMED Medical Group","3"
"1679092902","Stonerise Home Health","3"
"1689458473","Bonney Lake Rainier","3"
"1720317365","Four Corners Spine and Pain","3"
"1740709146","Stonerise Home Health","3"
"1790569572","WESTMED Medical Group","3"
"1821015066","WALMART PHARMACY 100181","3"
"1821015082","WALMART PHARMACY 10-0627","3"
"1821015934","WAL-MART PHARMACY 10-2160","3"
"1841074630","WESTMED Medical Group","3"
"1851015127","Integrity Health and Wellness","3"
"1851175731","Serenity Loving Home Care","3"
"1861800674","Corewell Health Ludington Hospital Family Medicine - Hart","3"
"1861800674","Spectrum Health Ludington Hospital Family Medicine - Hart","3"
"1881051233","Stonerise Home Health","3"
"1881927648","Carolina Sports and Spine, PA","3"
"1891831376","InclusivCare","3"
"1902200827","Walmart Pharmacy 10-3635","3"
"1932982113","Dental Care Alliance","5"
"1962882472","Lexington Medical Lodge","3"
"1972528800","Renaissance Surgery Center","3"
"1982063210","Corewell Health Ludington Hospital Multispecialty Center - Atkinson","3"
"1982063210","Spectrum Health Ludington Hospital Internal Medicine - Ludington","3"
"1982063210","Spectrum Health Ludington Hospital Multispecialty Clinic","3"
"1003200155","Costco Optical #339","3"
"1003402819","Paradise Home Health and Adult Day Services","3"
"1104590991","Costco Pharmacy #1449","3"
"1104600923","Adelle Anthony-Williams MD PLLC","3"
"1124185509","WALMART PHARMACY 10-5370","3"
"1164449401","WALMART PHARMACY 10-0309","3"
"1225547490","Costco Hearing Aid #1279","3"
"1235747775","Cordant Pharmacy Solutions #401","3"
"1245749449","Costco Optical #1285","3"
"1285651323","WAL-MART PHARMACY 10-2810","3"
"1316964703","WALMART PHARMACY 10-1874","3"
"1407367410","St Matthews Specialty Pharmacy LLC","3"
"1417731217","JHCS","3"
"1457393035","Essentia Health St Marys Medical Center","3"
"1508640301","Therapy with Purpose","3"
"1528452299","COSTCO OPTICAL #1197","3"
"1548779739","Costco Hearing Aid #1285","3"
"1558145367","Kew Gardens Dental Arts","3"
"1568971596","Costco Pharmacy #583 Central Fill","3"
"1588233654","Harvard Behavioral Center","3"
"1629702253","La'So Medical","3"
"1659398824","WALMART PHARMACY 10-0680","3"
"1659931160","Costco Pharmacy #1361","3"
"1710381553","Touch From Above Home Care","4"
"1720005853","WAL-MART PHARMACY 10-1450","3"
"1730106840","WAL-MART PHARMACY 10-2762","3"
"1730569666","HL Pharmacy","3"
"1760815823","St. Matthews Community Pharmacy","3"
"1780601989","WAL-MART PHARMACY 10-1486","3"
"1801461561","Omnia Dental Care","3"
"1801670609","Franklin Street Pharmacy","3"
"1811207848","Amazing Care Home Health Services","3"
"1811915341","WALMART PHARMACY 10-0118","3"
"1841955416","Care Complete","3"
"1851854350","Costco Hearing Aid #1333","3"
"1871977413","COSTCO HEARING AID #1206","3"
"1891712956","WAL-MART PHARMACY 10-3427","3"
"1932126190","WAL-MART PHARMACY 10-2256","3"
"1932983731","Kendall Dental","3"
"1972520161","WAL-MART PHARMACY 10-2310","3"
"1972987501","COSTCO OPTICAL #1206","3"
"1982620522","Brentwood Surgery Center","3"
"1982621124","WALMART PHARMACY 10-1034","3"
"1992481196","Baker Therapy & Consulting Services, PLLC.","4"
"1013791227","Central Peninsula Endocrinology and Diabetes","3"
"1184232886","Central Valley Medical Supplies","3"
"1184325953","Crossroads Treatment Centers","3"
"1295702009","Printers Place Dialysis Center","3"
"1427745389","Eclipse Mental Health","3"
"1427745389","Fox Nursing and Health Services, PC","5"
"1467236208","Sherl Respite Care","4"
"1487438222","4fd auto & logistic services, LLC","3"
"1518142710","Westport Renal Center","3"
"1588378442","Mountain Mental Health","5"
"1700228418","Atrium Health Levine Childrens Shelby Childrens Clinic","3"
"1700228418","Shelby Children's Clinic","3"
"1720862550","Heartline Express LLP","3"
"1720862550","Heartline Expresss","5"
"1780915298","U.S Renal Care Gallup PD Dialysis","3"
"1811145014","Atrium Health Levine Childrens Gastonia Childrens Clinic","3"
"1811145014","Gastonia Children's Clinic","3"
"1881354736","Wrap Connections-North","5"
"1891439550","Caring Hands Home Care","5"
"1942394291","COSTCO PHARMACY","3"
"1972039949","Valor Hospice","3"
"1043094899","Hair Replica","4"
"1043718984","Marilyn Ashley, LMFT","3"
"1073396610","Mountaintop Therapy Group","3"
"1083295794","Biologics by McKesson","3"
"1104609932","Eastmark Medical","3"
"1114608577","Sangre de Cristo Health and Wellness","3"
"1124802970","Highlands Senior Living","3"
"1194000703","My Doctor Urgent Care","3"
"1306863519","WALMART PHARMACY 10-0960","3"
"1316721178","RC FAM","3"
"1336112143","Greene County Dialysis","3"
"1417329426","Two Roads Wellness Clinic","3"
"1417373713","Brain Health USA","3"
"1447034202","MoLab stafiingSolutions","3"
"1447734967","Castle Place Pharmacy","3"
"1477130300","LC Psychotherapy Services, LLC","4"
"1477337228","Smith Road Assisted Living","3"
"1518741362","Central Peninsula Psychiatry","3"
"1528569316","Tristar Physical Therapy","3"
"1740821966","Whitestone Pharmacy","3"
"1750006599","Physical Therapy Solutions","3"
"1811688153","Resiliency Mind Body Medicine","3"
"1912781774","Pascoe Enterprises, LLC","4"
"1992941736","Georgia Dialysis for Adolescents and Pediatrics","3"
"1013791870","Safe Home LV","3"
"1013791870","SafehomeLV","3"
"1083498851","Momentum Pediatric Therapy Network","5"
"1154301661","Ambulance","5"
"1164186409","CALLEN PRESSWOOD LCSW PLLC","5"
"1215561576","Logansport Family Health Care","3"
"1225812092","Pikeville Smiles","3"
"1235155391","Loop Renal Center","3"
"1346381712","FARMACIA BORINQUEN","3"
"1346628518","Corewell Health Ludington Hospital Primary Care - Lawndale","3"
"1346628518","Spectrum Health Ludington Hospital Family and Internal Medicine - Ludi","3"
"1356751648","COMTREA","3"
"1356831150","UCHealth Emergency Room - Highlands Ranch","3"
"1356831218","UCHealth Arvada West Medical Center","5"
"1386428142","Indigo Behavioral Health","3"
"1477800340","COMTREA","3"
"1518042357","St. Peter's Hospital","3"
"1518042357","St. Peter's Hospital Physical Rehabilitation Services","3"
"1518042357","St. Peter's Inpatient Audiology Rehabilitation","3"
"1518042357","St. Peter's Inpatient Physical Therapy","3"
"1518042357","St. Peter's Inpatient Speech Pathology","3"
"1518042357","St. Peter's Intpatient Rehabilitation","3"
"1518042357","St. Peter's Regional ALS Center","3"
"1518042357","Thoracic and Vascular Surgery","3"
"1518042357","St. Peter's Clinical Nutrition","5"
"1518042357","St. Peter's Hospital Cardiac and Vascular Center","5"
"1518042357","St. Peter's Hospital Critical Care Unit","5"
"1518042357","St. Peter's Hospital Intensive Care Unit","5"
"1518042357","St. Peter's Hospital Neurology","5"
"1538528872","Corewell Health Ludington Hospital Pediatrics","3"
"1538528872","Spectrum Health Ludington Hospital Pediatrics - Ludington","3"
"1558458489","A2Z Home Medical Supplies","3"
"1629355771","Podiatric Care of Northern Virginia","3"
"1659155422","Professional Family Dental","5"
"1700456977","Hy-Vee Pharmacy (1440)","3"
"1730642794","Corewell Health Ludington Hospital Family Medicine - Hesperia","3"
"1730642794","Spectrum Health Ludington Hospital Family Medicine Hesperia","3"
"1801250907","Corewell Health Pennock Hospital Family Medicine - Gun Lake","3"
"1801250907","Spectrum Health Pennock Family Medicine - Gun Lake","3"
"1821097767","Peace River Center","3"
"1821648155","LOGANSPORT MEMORIAL EXPRESS MEDICAL CENTER","3"
"1821671272","Camden Health Center","3"
"1851175137","Austin Ryan Optika","3"
"1871070417","BHA Evans Center Clinic","3"
"1871377648","Pure Hands Home Care LLC","3"
"1932662996","Corewell Health Ludington Hospital Family Medicine - Grant","3"
"1932662996","Spectrum Health Ludington Hospital Family Medicine Grant","3"
"1013453760","Corewell Health Pennock Hospital Family Medicine - Middleville","3"
"1013453760","Spectrum Health Pennock Family Medicine - Middleville","3"
"1013791797","St Lukes Fruitland Retail Pharmacy","3"
"1033741228","Visiting Angels","3"
"1043094717","Perk Dental","3"
"1043547870","Sonora Quest Laboratories of Prescott","5"
"1124802806","Black Hills Life Flight","3"
"1144880675","Memorial Health System","5"
"1194509869","Rejoyce Health Care LLC","5"
"1225516917","Newport Academy-Happy Valley","3"
"1235819210","Thrive Therapy","3"
"1245804582","Newport Academy-Arena","3"
"1285235556","Newport Academy-Oasis","3"
"1295411007","Thrive Treatment Center, LLC","3"
"1326088006","Tufts Medical Center","3"
"1326088006","Tufts Medical Center Inpatient Pharmacy","5"
"1336166578","WALMART PHARMACY 10-0515","3"
"1366642209","WALMART PHARMACY 10-4521","3"
"1376144642","Newport Academy-Avocado","3"
"1376327049","TRUE PHARMACY OF EASLEY","3"
"1396190138","Corewell Health Pennock Hospital Family Medicine - State St","3"
"1396190138","Spectrum Health Pennock Family, Internal & Pediatric Medicine - Hastin","3"
"1427548387","UCHealth Emergency Room - Smoky Hill","3"
"1427721695","Newport Academy-Autumn","3"
"1437838026","Detroit RX","3"
"1447590617","Norton Shores Dialysis","3"
"1467053736","Newport Academy-Rush Creek","3"
"1477698710","Dr Kevin Daus","5"
"1477940773","Corewell Health Pennock Hospital Multispecialty Center - Ionia","3"
"1477940773","Spectrum Health Pennock Family Medicine-Ionia","3"
"1487677456","SSM Health Medical Group Family Medicine Clinic","3"
"1508640277","Continuum Autism Spectrum Alliance","3"
"1508948613","Tufts- New England Medical Center","4"
"1558145227","Associated Dental Specialists of Long Grove","3"
"1558145235","East Creek Dental Care","3"
"1578282729","WALGREENS CENTRAL FILL #1418-M","3"
"1588448252","Johnston Endoscopy Center","3"
"1609477645","Newport Academy-Alberca","3"
"1609659069","Synchrony Rehab","3"
"1619467388","UCHealth Emergency Room - Littleton","3"
"1619751385","Continuum Autism Spectrum Alliance","3"
"1629568423","UCHealth Emergency Room - Parker","3"
"1700803905","WAL-MART PHARMACY 10-3495","3"
"1720788656","Excel Group Home","3"
"1730110347","AnMed","3"
"1770501629","Community Brain Injury Services","3"
"1790569465","Lakeview Dental","4"
"1942969365","UWC- CHANNAHON","3"
"1952053001","Everest Medical","3"
"1962889584","Corewell Health Pennock Hospital Family Medicine - Lake Odessa","3"
"1962889584","Spectrum Health Pennock Family Medicine - Lake Odessa","3"
"1982612693","Fusion Medical Supplies","3"
"1992378509","Newport Academy-French Creek","3"
"1992722029","WAL-MART PHARMACY 10-1714","3"
"1013911726","Doctor's Choice Home Care","3"
"1063439305","WALMART PHARMACY 10-0876","3"
"1124045372","WALMART PHARMACY 100226","3"
"1134632524","Newport Academy-Ranch","3"
"1134800295","2 C Hope LLC","4"
"1154348498","WALMART PHARMACY 10-0170","3"
"1154418135","Kids SPOT","3"
"1164449435","WALMART PHARMACY 10-0312","3"
"1184408874","TOTAL POINT PRESCOTT MEDICAL","3"
"1194742353","WALMART PHARMACY 10-0795","3"
"1225691801","HMH Pharmacy @ JFK University Medical Center","3"
"1225691801","JFK Outpatient Pharmacy","3"
"1235913914","AUTISM LIFE CARE CENTER","3"
"1235913914","AUTISM LIFE CARE CENTER, LLC","3"
"1235913922","Walmart Vision Center 30-0544","3"
"1255961199","Newport Academy-Highcliff","3"
"1265065668","Center for Plastic Surgery","3"
"1265216956","Cedar City Dental Care","3"
"1265835946","Walmart Pharmacy 10-2919","3"
"1285152843","Korunda Pain Management Center","3"
"1295462760","Walgreens Central Fill #1418-M","3"
"1295758688","Pacific Pulmonary Services","3"
"1326280561","Lincoln Park Manor Home Health","3"
"1346267614","WALMART PHARMACY 10-0498","3"
"1346538998","Numotion","3"
"1356368419","WALMART PHARMACY 10-5166","3"
"1356406573","WALMART PHARMACY 10-4226","3"
"1376033670","Newport Academy-Maoli","3"
"1376327064","Water Tower Dental Care","3"
"1417731191","Bling Optometry Redondo Beach","3"
"1437503190","Sky Wellness","3"
"1437503190","Wellness Lane","3"
"1447765599","Korunda Pain Management Center","3"
"1467970038","Korunda Pain Management Center","3"
"1477128809","EC Compass","3"
"1487881595","Doctor's Choice Home Care","3"
"1528746492","Fisher Eye and Laser Center","3"
"1568489706","WALMART PHARMACY 10-0861","3"
"1659087567","DOWNTOWN YOUTH WELLNESS CENTER","3"
"1700498599","Doctor's Choice Hospice","3"
"1730692195","Newport Academy-Hillside","3"
"1730862145","Clinica Esencia Inc.","4"
"1740064435","BLISS PHARMACY","3"
"1750323242","Chiropractic Company - Milwaukee Downtown LTD","3"
"1750789020","infinity sleep solutions","3"
"1770194060","Newport Academy-Palm Hills","3"
"1770500167","WALMART PHARMACY 10-2114","3"
"1790270155","Newport Academy-Paloma","3"
"1790288892","Center For Families-Marin or Newport Academy-Marin","3"
"1831973528","Hawkes Bay Dental Care","3"
"1851318018","WAL-MART PHARMACY 10-1849","3"
"1891273579","Newport Academy-Ridgeview","3"
"1891336459","Newport Academy-Morada","3"
"1902529530","Allianze Inc","5"
"1902823032","WAL-MART PHARMACY 10-1351","3"
"1932480928","KIDS S.P.O.T.","3"
"1982811873","Kids Spot","3"
"1013791722","Schwartz Dentistry for Children","3"
"1073099602","JPROLABS2GO,LLC","4"
"1093772527","Dakota Radiology","3"
"1154051225","Montefiore Orthopedics","5"
"1184408882","CVS Pharmacy #10894","3"
"1285649855","Winona Fmaily Practice","3"
"1306892708","Dakota PET CT and MRI","3"
"1366957482","Bayshore Urgent Care Services","3"
"1366957482","Ellenton Urgent Care","3"
"1437214855","Herndon Pharmacy","3"
"1437434677","West Branch Dialysis","3"
"1437933140","Watson Dental Associates","3"
"1477234193","Tree Ring Therapy Services","3"
"1487203642","JLS DC ND","3"
"1518741222","Walmart Vision Center 30-4195","3"
"1548883481","Tyler Holmes Carrollton Clinic","3"
"1548883481","Tyler Holmes Carrollton Clinic","5"
"1558145268","BODY CHEMISTRI","3"
"1669540399","Champaign Oral Surgery Center","3"
"1689081648","CrescentCare","3"
"1689081648","CrescentCare Health and Wellness Center","3"
"1699112698","Pedro D. Guimaraes, M.D. Inc.","4"
"1730367459","Crossroads Family Medicine","5"
"1780367730","Margaret Warner Counseling","3"
"1780630608","UVA Health Sciences Center","3"
"1871202374","MIND AND PAIN SPECIALIST","3"
"1891579736","AlohaBus Early Intervention Services","3"
"1932742079","Reform Prosthetics","3"
"1942370614","Mitchell County Regional Health Center","3"
"1003833328","WALMART PHARMACY 10-0754","3"
"1013934371","WALMART PHARMACY 10-0953","3"
"1023175072","Habit OPCO- Springfield","3"
"1053838912","Premise Health Clinic","3"
"1073397022","Family Legacy United/ GBR West Investments","5"
"1124045307","WAL-MART PHARMACY 10-1467","3"
"1154105898","Healing Hands Wound Care Center","3"
"1154348209","WAL-MART PHARMACY 10-3596","3"
"1154348399","WALMART PHARMACY 10-1133","3"
"1154618718","Florida Cancer Specialists P L","4"
"1164449492","WAL-MART PHARMACY 10-2548","3"
"1174307805","Hudson Behavioral Health","3"
"1194742361","WALMART PHARMACY 10-0565","3"
"1205173028","vision home health care LLC","3"
"1205610938","Malley Transitional Care Center","3"
"1235157934","WALMART PHARMACY 10-0611","3"
"1306296132","NewSound Hearing Aid Centers","3"
"1306492848","Dan River Dialysis","3"
"1316662901","Eastside Health & Wellness","3"
"1326066127","WALMART PHARMACY 10-1010","3"
"1356993034","F&M Renounce Healthcare Services","3"
"1376327007","On The Move Mobile Phlebotomy LLC","5"
"1376560524","WAL-MART PHARMACY 10-1379","3"
"1386661643","WALMART PHARMACY 10-1019","3"
"1386888279","Central Jersey Comprehensive Treatment Center","3"
"1396529020","Healgood Holistic Counseling Center","3"
"1396932877","BIRCH FAMILY PHARMACY","3"
"1407630148","North Florida Dentistry","3"
"1417665860","Chapel Trails Dentists of Pembroke Pines","3"
"1417731159","American Medical Missouri","3"
"1427075696","WAL-MART PHARMACY 10-2793","3"
"1427075761","WALMART PHARMACY 10-0839","3"
"1447034160","Hy-Vee Pharmacy (1482)","3"
"1477337194","PCP HEALTHCARE MANAGEMENT, CORP.","3"
"1487838132","WAL-MART PHARMACY 10-4277","3"
"1497058788","Children's Dentistry of Red Bank","3"
"1497058788","Dental Partners - Bellevue","3"
"1497058788","Dental Partners - Bowling Green","3"
"1497058788","Dental Partners - Brookhaven","3"
"1497058788","Dental Partners - Cookeville","3"
"1497058788","Dental Partners - Copperhill","3"
"1497058788","Dental Partners - Dickson College","3"
"1497058788","Dental Partners - Fountain City","3"
"1497058788","Dental Partners - Owensboro","3"
"1497058788","Dental Partners - South Knoxville","3"
"1497058788","Dental Partners - White Station","3"
"1497058788","Dental Pasrtners - East Ridge","3"
"1497058788","Dental Pertners - Lewisburg","3"
"1497058788","Just 4 Kids Teeth","3"
"1497539134","Medicxs Pharmacy","3"
"1497772651","WAL-MART PHARMACY 10-1694","3"
"1558692517","Potterville Pharmacy","3"
"1588294854","Providence Surgery Center, Pacific Campus","3"
"1619495041","Premise Health Wellness Center at Rheem","3"
"1649785643","The Madison Marriage and Couples Center","3"
"1669490355","WAL-MART PHARMACY 10-2696","3"
"1679590830","WAL-MART PHARMACY 10-1953","3"
"1679590889","WAL-MART PHARMACY 10-1647","3"
"1720005044","WAL-MART PHARMACY 10-1247","3"
"1720005978","WAL-MART PHARMACY 10-1317","3"
"1740207042","WALMART PHARMACY 10-1002","3"
"1750165478","New Life Group NJLLC","3"
"1750843215","Medical Aid Supplies","3"
"1760707566","WalMart Pharmacy 10-4636","3"
"1801813217","WALMART PHARMACY 10-1074","3"
"1811914013","WALMART PHARMACY 10-0393","3"
"1831973569","Wholecare Pharmacy","4"
"1841644184","Corewell Health Pennock Hospital Multispecialty Center - Green St","3"
"1841644184","Spectrum Health Pennock Obstetrics and Gynecology - Hastings","3"
"1871650739","The Pain Center of Arizona","5"
"1881637627","Reliable Home Medical","3"
"1891579538","GUEVARA MEDICAL SERVICES","3"
"1912781634","none","4"
"1952062762","Orlando Treatment Solutions","3"
"1962429233","WAL-MART PHARMACY 10-3483","3"
"1982621264","WALMART PHARMACY 10-3582","3"
"1992589618","Rose Counseling Services LMHC PLLC","4"
"1023768090","EXPRESS CLINIC","5"
"1093878548","Sofronio Soriano MD PC","3"
"1154868503","West Plano ER","3"
"1184766750","Botica San Jose","3"
"1255760070","CareConnect NP2U","3"
"1306289558","Corewell Health Greenville Hospital Family Medicine - Belding","3"
"1306289558","Spectrum Health United Hospital Belding Family Medicine","3"
"1346268760","WALMART PHARMACY 10-1026","3"
"1427130947","GREAT PLAINS PHARMACY","3"
"1477337129","The Home Neuro PT","5"
"1477927184","Corewell Health Greenville Hospital Multispecialty Center - 707 S Gree","3"
"1477927184","Spectrum Health United Hospital Internal Medicine, Pediatrics","3"
"1528842705","ALPHA ONE HOME MEALS","3"
"1538436852","Corewell Health Greenville Hospital Multispecialty Center - Oak St","3"
"1538436852","Spectrum Health United Hosp. Family Med. and Obstetrics & Gynecology","3"
"1730447749","Cape Chiropractic and Acupuncture","3"
"1730447749","ZJM2 LLC","3"
"1760047526","Mikyle Health","3"
"1790104206","Corewell Health Greenville Hospital Multispecialty Center - Lakeview","3"
"1790104206","Spectrum Health United Hospital Multispecialty Center -Lakeview","3"
"1841074580","VMS","3"
"1922335025","Heritage Health Care","3"
"1962172395","na","4"
"1013615376","AD4 ENTERPRISE","3"
"1013615376","VISITA HOME HEALTHCARE","3"
"1063296994","Chris Trevino","3"
"1104358811","Swing Bed","5"
"1114701851","Rorie Transportation LLC","3"
"1114701877","Integrated Clinical Services","3"
"1174036537","Newport Academy-Rodeo","3"
"1174307748","Synchrony Rehab","3"
"1194258129","Early Emergency Care","3"
"1194454454","Premier Orthodontics","3"
"1235899550","Ellis Orthodontics","3"
"1275224818","Publix Pharmacy #1779","3"
"1285418855","Synchrony Rehab","3"
